customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,tenure,average_monthly,phone_services_description,internet_services_description,contact_type_description,tenure_month,service_types,tenure_years,Auto or Non-Auto
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,54.4369469,33.98376918,No Phone Service,DSL,2 Year,54,Internet,5 years,Auto
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,72.40368151,1658.870306,Two or More Lines,Fiber Optic,2 Year,72,Phone and Internet,More than 5 years,Auto
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,5.097897027,4.903694268,One Line,Fiber Optic,Month-to-Month,5,Phone and Internet,< 1 year,Non-Auto
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,71.68065153,127.7759902,Two or More Lines,Fiber Optic,2 Year,72,Phone and Internet,More than 5 years,Auto
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,TRUE,FALSE,FALSE,TRUE,FALSE,0,56.82796892,35.78847417,No Phone Service,DSL,2 Year,57,Internet,5 years,Auto
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,71.53420366,210.4785019,Two or More Lines,Fiber Optic,2 Year,72,Phone and Internet,More than 5 years,Auto
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,32.54204082,1993.2,No Phone Service,DSL,1 Year,33,Internet,3 years,Non-Auto
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,1.619441161,Two or More Lines,Fiber Optic,Month-to-Month,1,Phone and Internet,< 1 year,Non-Auto
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,44.5215311,2791.5,One Line,DSL,1 Year,45,Phone and Internet,5 years,Auto
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0.4842073031,No Phone Service,DSL,Month-to-Month,1,Internet,< 1 year,Non-Auto
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,51.83730159,101.1211171,Two or More Lines,No Internet Service,1 Year,52,Phone,5 years,Non-Auto
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,12.91817216,55.03202789,Two or More Lines,Fiber Optic,Month-to-Month,13,Phone and Internet,2 years,Non-Auto
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,22.08895522,641.9843969,Two or More Lines,Fiber Optic,Month-to-Month,22,Phone and Internet,2 years,Non-Auto
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,2.881612091,15.24584152,One Line,No Internet Service,Month-to-Month,3,Phone,< 1 year,Non-Auto
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,3,3.751842752,76.35,One Line,No Internet Service,Month-to-Month,4,Phone,< 1 year,Non-Auto
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,3,1,0.5591284748,No Phone Service,DSL,Month-to-Month,1,Internet,< 1 year,Auto
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,54.54918033,105.8112048,One Line,Fiber Optic,1 Year,55,Phone and Internet,5 years,Auto
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,53.46078431,45.30202395,One Line,No Internet Service,2 Year,53,Phone,5 years,Auto
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,24.07397959,6.654338177,One Line,No Internet Service,1 Year,24,Phone,3 years,Auto
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,70.90862944,39.22873551,One Line,No Internet Service,2 Year,71,Phone,5 years,Auto
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,35.60910088,73.71783494,One Line,Fiber Optic,1 Year,36,Phone and Internet,5 years,Auto
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,44.05378973,13.13551368,One Line,No Internet Service,1 Year,44,Phone,5 years,Auto
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,68.58506045,121.4911289,Two or More Lines,Fiber Optic,1 Year,69,Phone and Internet,5 years,Auto
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,65.37226277,64.12643567,One Line,No Internet Service,1 Year,65,Phone,5 years,Non-Auto
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,FALSE,FALSE,FALSE,TRUE,FALSE,3,20.94923858,19.35947297,No Phone Service,DSL,2 Year,21,Internet,2 years,Auto
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,TRUE,FALSE,TRUE,FALSE,FALSE,2,42.63545817,19.37645576,Two or More Lines,No Internet Service,2 Year,43,Phone,5 years,Non-Auto
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,55.22939866,83.94988969,Two or More Lines,Fiber Optic,Month-to-Month,55,Phone and Internet,5 years,Auto
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,59.07810026,506.157216,Two or More Lines,Fiber Optic,Month-to-Month,59,Phone and Internet,5 years,Non-Auto
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,11.0591133,8.815902022,One Line,No Internet Service,2 Year,11,Phone,< 1 year,Auto
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,25.46534653,1042.845774,Two or More Lines,Fiber Optic,Month-to-Month,25,Phone and Internet,3 years,Auto
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,1.849746193,3.42673946,One Line,DSL,Month-to-Month,2,Phone and Internet,< 1 year,Non-Auto
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,26.58503836,84.06791151,One Line,DSL,1 Year,27,Phone and Internet,3 years,Non-Auto
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,24.72941176,24.11232775,Two or More Lines,No Internet Service,2 Year,25,Phone,3 years,Auto
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,26.1525974,58.34842448,One Line,DSL,1 Year,26,Phone and Internet,3 years,Auto
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,FALSE,FALSE,FALSE,TRUE,FALSE,2,27.61,16.74972571,No Phone Service,DSL,Month-to-Month,28,Internet,3 years,Non-Auto
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,74.17733412,446.4772824,Two or More Lines,DSL,2 Year,74,Phone and Internet,More than 5 years,Auto
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,14.14674441,20.45274986,One Line,DSL,1 Year,14,Phone and Internet,2 years,Auto
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,35.58690176,3532,One Line,Fiber Optic,1 Year,36,Phone and Internet,5 years,Non-Auto
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,1,1.600345145,One Line,DSL,Month-to-Month,1,Phone and Internet,< 1 year,Non-Auto
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,27.68152866,38.05399143,One Line,Fiber Optic,Month-to-Month,28,Phone and Internet,3 years,Non-Auto
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,68.52369231,147.708399,Two or More Lines,DSL,1 Year,69,Phone and Internet,5 years,Non-Auto
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,37.69284642,93.88759527,Two or More Lines,Fiber Optic,Month-to-Month,38,Phone and Internet,5 years,Auto
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,40.12670672,95.09672145,One Line,Fiber Optic,Month-to-Month,40,Phone and Internet,5 years,Non-Auto
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,38.63014354,342.3196912,Two or More Lines,Fiber Optic,Month-to-Month,39,Phone and Internet,5 years,Auto
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,11.79263158,179.3263551,One Line,Fiber Optic,Month-to-Month,12,Phone and Internet,2 years,Non-Auto
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,6.247269116,10.74345363,Two or More Lines,DSL,Month-to-Month,6,Phone and Internet,< 1 year,Non-Auto
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,29.27829457,69.15049075,Two or More Lines,DSL,Month-to-Month,29,Phone and Internet,3 years,Non-Auto
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,27.30927835,7.596582272,One Line,No Internet Service,Month-to-Month,27,Phone,3 years,Non-Auto
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,69.74188931,127.8806164,Two or More Lines,Fiber Optic,1 Year,70,Phone and Internet,5 years,Non-Auto
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,57.15447898,109.2601518,Two or More Lines,Fiber Optic,1 Year,57,Phone and Internet,5 years,Auto
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,57.22763419,169.5639551,One Line,DSL,1 Year,57,Phone and Internet,5 years,Auto
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,16.97619048,17.18271751,Two or More Lines,DSL,Month-to-Month,17,Phone and Internet,2 years,Auto
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,70.54181034,8182.85,Two or More Lines,Fiber Optic,2 Year,71,Phone and Internet,5 years,Non-Auto
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,19.85,One Line,No Internet Service,Month-to-Month,1,Phone,< 1 year,Non-Auto
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,2,1,3.275092174,Two or More Lines,Fiber Optic,Month-to-Month,1,Phone and Internet,< 1 year,Non-Auto
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,30.45715806,180.1550825,One Line,Fiber Optic,Month-to-Month,30,Phone and Internet,3 years,Non-Auto
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,15.88325991,29.96774607,Two or More Lines,Fiber Optic,Month-to-Month,16,Phone and Internet,2 years,Auto
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,48.1250741,57.03397031,Two or More Lines,DSL,1 Year,48,Phone and Internet,5 years,Non-Auto
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,TRUE,FALSE,FALSE,TRUE,FALSE,1,71.17424893,122.3128638,No Phone Service,DSL,2 Year,71,Internet,5 years,Auto
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,33.89586239,387.3647137,Two or More Lines,Fiber Optic,Month-to-Month,34,Phone and Internet,3 years,Non-Auto
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,9.411027569,9.010314617,One Line,No Internet Service,Month-to-Month,9,Phone,< 1 year,Auto
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,20.83723022,64.29280784,Two or More Lines,Fiber Optic,Month-to-Month,21,Phone and Internet,2 years,Non-Auto
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,3,36.039801,56.66676088,No Phone Service,DSL,Month-to-Month,36,Internet,5 years,Auto
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,25.56701632,44.40231574,One Line,Fiber Optic,Month-to-Month,26,Phone and Internet,3 years,Auto
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,49.4039548,252.6283912,No Phone Service,DSL,1 Year,49,Internet,5 years,Non-Auto
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,6.92281652,8.149658479,Two or More Lines,Fiber Optic,Month-to-Month,7,Phone and Internet,< 1 year,Non-Auto
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,62.73269012,360.4595466,Two or More Lines,DSL,2 Year,63,Phone and Internet,5 years,Non-Auto
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,15.3325111,62.04961639,One Line,Fiber Optic,Month-to-Month,15,Phone and Internet,2 years,Non-Auto
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,TRUE,FALSE,FALSE,TRUE,FALSE,2,25.04366812,16.08980563,No Phone Service,DSL,Month-to-Month,25,Internet,3 years,Non-Auto
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,71.28737454,159.8990521,One Line,Fiber Optic,Month-to-Month,71,Phone and Internet,5 years,Non-Auto
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,42.19756098,12.93906038,One Line,No Internet Service,1 Year,42,Phone,5 years,Auto
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,66.8557047,2837.917011,Two or More Lines,Fiber Optic,Month-to-Month,67,Phone and Internet,5 years,Auto
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,2.106086957,4.160432827,One Line,Fiber Optic,Month-to-Month,2,Phone and Internet,< 1 year,Non-Auto
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,43.66132265,278.7034279,One Line,DSL,1 Year,44,Phone and Internet,5 years,Auto
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,11.72590529,15.15687592,Two or More Lines,Fiber Optic,Month-to-Month,12,Phone and Internet,2 years,Auto
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,69.43383356,7634.25,Two or More Lines,Fiber Optic,2 Year,69,Phone and Internet,5 years,Non-Auto
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,24.97207843,Two or More Lines,Fiber Optic,Month-to-Month,1,Phone and Internet,< 1 year,Non-Auto
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,0,3.211586902,30.23523622,One Line,No Internet Service,Month-to-Month,3,Phone,< 1 year,Non-Auto
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,2.108467072,6.858967952,One Line,Fiber Optic,Month-to-Month,2,Phone and Internet,< 1 year,Non-Auto
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,27.77385772,95.33753545,Two or More Lines,Fiber Optic,Month-to-Month,28,Phone and Internet,3 years,Auto
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,25.18472906,13.10764658,One Line,No Internet Service,Month-to-Month,25,Phone,3 years,Non-Auto
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,39.00395062,158.3271263,Two or More Lines,Fiber Optic,Month-to-Month,39,Phone and Internet,5 years,Non-Auto
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,24.94297782,2362.1,Two or More Lines,Fiber Optic,Month-to-Month,25,Phone and Internet,3 years,Auto
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,3.333720829,One Line,Fiber Optic,Month-to-Month,1,Phone and Internet,< 1 year,Non-Auto
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,21.26752768,15.58784352,One Line,DSL,Month-to-Month,21,Phone and Internet,2 years,Non-Auto
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,73.948651,353.2762335,Two or More Lines,Fiber Optic,2 Year,74,Phone and Internet,More than 5 years,Non-Auto
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,24.0511509,26.10385451,One Line,No Internet Service,2 Year,24,Phone,3 years,Auto
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,18.01266552,21.46493464,Two or More Lines,Fiber Optic,Month-to-Month,18,Phone and Internet,2 years,Non-Auto
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,72.8816568,54.95594906,Two or More Lines,No Internet Service,2 Year,73,Phone,More than 5 years,Auto
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,33.61874431,1270.849397,Two or More Lines,Fiber Optic,Month-to-Month,34,Phone and Internet,3 years,Auto
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,2.90726817,1.258908014,One Line,No Internet Service,Month-to-Month,3,Phone,< 1 year,Non-Auto
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,46.07167431,63.65506838,Two or More Lines,Fiber Optic,Month-to-Month,46,Phone and Internet,5 years,Non-Auto
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,63.11280629,95.53141807,One Line,Fiber Optic,2 Year,63,Phone and Internet,5 years,Non-Auto
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,71.44926913,1221.488067,Two or More Lines,Fiber Optic,1 Year,71,Phone and Internet,5 years,Auto
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,6.802808989,22.83848201,One Line,Fiber Optic,Month-to-Month,7,Phone and Internet,< 1 year,Non-Auto
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,26.51008065,1173.46046,One Line,Fiber Optic,Month-to-Month,27,Phone and Internet,3 years,Non-Auto
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,1.680798005,1.398762508,One Line,No Internet Service,Month-to-Month,2,Phone,< 1 year,Non-Auto
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,TRUE,FALSE,FALSE,TRUE,FALSE,2,24.09272468,29.89752167,No Phone Service,DSL,2 Year,24,Internet,3 years,Auto
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,28.24481605,35.8943115,One Line,DSL,Month-to-Month,28,Phone and Internet,3 years,Non-Auto
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,58.81990521,618.5185023,One Line,Fiber Optic,1 Year,59,Phone and Internet,5 years,Auto
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,10.03284457,101.4728406,Two or More Lines,Fiber Optic,Month-to-Month,10,Phone and Internet,< 1 year,Non-Auto
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,8.428856383,112.5821173,Two or More Lines,Fiber Optic,Month-to-Month,8,Phone and Internet,< 1 year,Auto
